store_id,item_id,wm_yr_wk,sell_price
store_1,item_1,201879,0.0
store_1,item_1,201915,12.55
store_1,item_1,201983,10.16
store_1,item_1,201805,0.0
store_1,item_1,201964,0.0
store_1,item_12,201918,9.78
store_1,item_12,201814,10.4
store_1,item_12,201980,0.0
store_1,item_12,201843,0.0
store_1,item_12,201897,0.0
store_1,item_29,201848,0.0
store_1,item_29,201949,96.3
store_1,item_29,201830,0.0
store_1,item_29,201976,59.76
store_1,item_29,201902,0.0
store_1,item_39,201831,66.39
store_1,item_39,201834,72.3
store_1,item_39,201982,0.0
store_1,item_39,201844,0.0
store_1,item_39,201987,0.0
store_1,item_8,201873,9.96
store_1,item_8,201878,0.0
store_1,item_8,201995,0.0
store_1,item_8,201823,10.14
store_1,item_8,201808,10.45
store_1,item_8,201887,10.2
store_1,item_8,201871,0.0
store_10,item_11,201806,0.0
store_10,item_11,201842,9.86
store_10,item_11,201821,0.0
store_10,item_11,201890,0.0
store_10,item_11,201909,0.0
store_10,item_11,201914,9.85
store_10,item_17,201970,0.0
store_10,item_17,201871,0.0
store_10,item_17,201955,9.87
store_10,item_17,201853,0.0
store_10,item_17,201864,9.6
store_10,item_17,201908,0.0
store_10,item_17,201914,9.93
store_10,item_17,201813,10.15
store_10,item_17,201894,10.21
store_10,item_18,201835,0.0
store_10,item_18,201980,14.17
store_10,item_18,201828,9.73
store_10,item_18,201853,0.0
store_10,item_18,201904,0.0
store_10,item_2,201862,46.91
store_10,item_2,201988,19.65
store_10,item_2,201997,0.0
store_10,item_2,201998,0.0
store_10,item_2,201889,77.35
store_10,item_2,201941,99.73
store_10,item_2,201996,0.0
store_10,item_23,201862,0.0
store_10,item_23,201965,70.55
store_10,item_23,201948,0.0
store_10,item_23,201861,0.0
store_10,item_23,201966,0.0
store_10,item_29,201899,10.36
store_10,item_29,201935,0.0
store_10,item_29,201992,7.58
store_10,item_29,201947,0.0
store_10,item_29,201868,12.97
store_10,item_34,201857,0.0
store_10,item_34,201938,9.44
store_10,item_34,201804,0.0
